0, 10, 2, 1, 1, 1, 3, 1, 
1, 25, 7, 3, 2, 2, 4, 2, 
2, 50, 18, 9, 8, 7, 10, 6, 
3, 75, 44, 18, 22, 12, 15, 8, 
4, 100, 64, 28, 23, 15, 20, 13, 
5, 150, 152, 61, 48, 26, 34, 20, 
6, 250, 379, 139, 130, 46, 64, 35, 
7, 500, 1364, 503, 517, 108, 122, 75, 
8, 750, 3077, 1090, 1230, 220, 191, 124, 
9, 1000, 5746, 1926, 2018, 259, 283, 169, 
10, 2500, 36622, 12146, 12514, 746, 683, 603, 
11, 5000, 158240, 44972, 49915, 1882, 1452, 1621, 
12, 7500, 379040, 101387, 111822, 2810, 2152, 3106, 
13, 10000, 686568, 180007, 200837, 3959, 2928, 5125, 
14, 15000, 1799417, 407200, 470483, 6946, 4548, 11128, 
15, 20000, 2909309, 720871, 802847, 8785, 6077, 17605, 
16, 25000, 4568972, 1125015, 1255475, 12391, 7632, 26492, 
