0, 10, 2, 1, 1, 1, 3, 1, 
1, 25, 6, 3, 2, 2, 5, 3, 
2, 50, 22, 10, 8, 6, 11, 7, 
3, 75, 46, 19, 17, 11, 17, 9, 
4, 100, 88, 37, 30, 18, 24, 14, 
5, 150, 159, 49, 63, 27, 36, 20, 
6, 250, 453, 124, 115, 43, 97, 50, 
7, 500, 1289, 512, 429, 91, 101, 66, 
8, 750, 2602, 1059, 960, 161, 243, 111, 
9, 1000, 4311, 1651, 1801, 190, 291, 135, 
10, 2500, 30039, 10228, 12187, 571, 581, 451, 
11, 5000, 131105, 36171, 41018, 1667, 1160, 1248, 
12, 7500, 306480, 81629, 110968, 3592, 2477, 3087, 
13, 10000, 610415, 144727, 168525, 3539, 2334, 4885, 
14, 15000, 1299427, 327127, 370608, 5778, 3936, 8515, 
15, 20000, 2815578, 797198, 795165, 7370, 4758, 17720, 
16, 25000, 4059479, 954485, 1039989, 11603, 6437, 25879, 
